Project ID,Project Name,Client,PO Number,Status,Notes,Source,Item,Description,Project Quantity,Order Quantity,Cost,Cost Extended
CS-10648,Worship Center Changes,Hunters Glen,,Not Ordered,,EAVI,EAVI Travel,Travel time to project from EAVI office,2.0,2,$0.00,$0.00
CS-10648,Worship Center Changes,Hunters Glen,,Not Ordered,,EAVI,EAVI System Design Services,System Design Services,3.0,3,$0.00,$0.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,"Anixter, Inc.",Belden 1533P,Belden Cat5 STP shielded cable Plenum,0.5,1,$685.00,$685.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,"Anixter, Inc.",Belden 4694P,12 GHz 4K UHD Precision Video Cable 75 Ohm 16 AWG Plenum,1.0,1,"$2,365.00","$2,365.00"
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,"Anixter, Inc.",Belden 2413F,23-4P F UTP-CMP SOL BC FEP LSPVC BLK Plenum,1.0,1,$563.00,$563.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Chief Manufacturing,Chief XSM1U,Micro-Adjust Fixed Wall Mount X-Large,2.0,2,$180.69,$361.38
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Crestron,Crestron HD-RXC-101-C-E,DM Lite HDMI over CATx Receiver w IR RS-232 Surface Mo,2.0,2,$200.00,$400.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Crestron,Crestron HD-TXC-101-C-E,DM Lite HDMI over CATx Transmitter w IR RS-232 Surface,2.0,2,$200.00,$400.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Crestron,Crestron HD-DA4-4KZ-E,1 4 HDMI Distribution Amplifier w 4K60 4 4 4 HDR Support,1.0,1,$275.00,$275.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Extron Electronics,Extron Electronics 12G HD-SDI 101,Cable Equalizer for 12G-SDI,2.0,2,$395.00,$790.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Extron Electronics,Extron Electronics 12G HD-SDI 101,Cable Equalizer for 12G-SDI,1.0,1,$395.00,$395.00
CS-10648,Worship Center Changes,Hunters Glen,,Not Ordered,,EAVI,EAVI OFE,Install owner furnished equipment,4.0,4,$0.00,$0.00
CS-10648,Worship Center Changes,Hunters Glen,,Not Ordered,,,Manfrotto MHXPRO-2W,XPRO Fluid Head w/ Fluidity Selector,1.0,1,$128.00,$128.00
CS-10648,Worship Center Changes,Hunters Glen,,Not Ordered,,,Manfrotto MT190X3,Manfrotto MT190X3 Aluminum 3-Section Tripod,1.0,1,$143.00,$143.00
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Multiple Sources,Samsung QB85R-N,"85""4K UHD LED LCD (No WiFi)2840x2160 Magicinfo S6 350 Nit 16/7",2.0,2,"$2,828.00","$5,656.00"
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Multiple Sources,TRENDnet TPE-119GI,Gigabit 4PPoE Injector,1.0,1,$89.99,$89.99
CS-10648,Worship Center Changes,Hunters Glen,,Ready To Order,,Hall Research Technologies,Hall Technologies SP-HD-4C,1x4 HDMI Splitter w/ 4K 60Hz 4:4:4 HDCP 2.2 Audio out & Scaler,1.0,1,$170.89,$170.89
